MutationType	CH43A	CH43B	CH43C	CH43D	CH43E	CH43F	CH43G	CH43H	CH43I	CH43J	CH43K	CH43L	CH43M
210.0	0.12364029988180845	0.04038181274896488	0.02797788015101117	0.0105449145997491	0.03087411301676184	0.07424365382412532	0.08425303115043789	0.17057794492691755	0.05830456206575036	0.10468259011860936	0.003267558026709594	0.1346838989853859	0.09594924893695861
343.0	0.12920395739376545	0.12228046871721744	0.03189120871364139	0.19532371632754802	0.13532439345493913	0.177882536649704	0.12981563308625482	0.11174977004528046	0.19151245087385177	0.07085304074478017	0.21568607524037361	0.10610007994808257	0.11766574866712745
29.0	0.0008384122702409513	0.00043008985250708064	0.00189933792604279	0.0012662965391064063	0.00032461897208122534	0.0003970734703898415	0.00037053502179333007	0.002993455218456802	0.0008041307486655569	0.00023552050221042008	0.1689890718460083	0.0008388561171886977	0.007040768730838418
70.0	0.00993451373942662	0.01002257980813738	0.001297667439622856	0.04458540552295744	0.001936689129070146	0.002005871335422853	0.00015193658764474095	0.013120946463324974	0.007178834535297937	0.00584136444478645	0.16742373377084732	0.0037760675049503334	0.012801457216846756
28.0	0.006810118867186361	0.02269982360769063	0.00044979104771300624	0.046411600206047295	0.007632101538183634	0.011043244814500213	0.010830771408800502	0.005830644494853914	0.011018261778372108	0.0019249722617678345	0.0002641676383791491	0.009018264892220032	0.00900120241800323
3.0	0.007728423898806795	0.00040171491549699566	0.00363789098104462	0.0004654657663195394	0.002048822935903445	0.005590383239323273	0.007161684826714918	0.003867373238899745	0.005592413517663033	0.00037579417827146247	0.0	0.003782346608984426	3.915901761502028e-05
3.0	0.00030700093143609664	1.1863884053795458e-05	0.0010176808362548683	7.70946906413883e-06	0.00018360216873604783	0.0	0.00018854460689198048	0.0009788482140333698	0.0	0.0016652167280928865	9.385217403234947e-10	0.00014578552150403822	0.00020154425941711906
407.0	0.07728595934197999	0.19094795763492584	0.11780139341950417	0.04799526520087255	0.021558878583769227	0.06851722225581841	0.042584522233289214	0.20023747138679027	0.1396534615010023	0.2949439010024071	0.03552932497099391	0.09127818307257257	0.05297814690518068
34.0	0.021588033750886096	0.01161576940910891	0.017439336865209043	0.019364986694417895	0.0038742157146293556	0.012635857440764085	0.02213435711339116	0.007438915063016827	0.0167211623271578	0.010811965621500299	0.0025044811124098542	0.01835082223173231	0.018750050773378463
4.0	0.006455908269272186	0.0	0.010396253592334688	0.011137757212854921	0.00575993467798753	0.01082357618608886	0.0017366148706787498	0.000659895256649757	0.0008403484227210417	0.0001511622336693108	5.685029100277462e-07	0.0010455083579793013	0.0010815504041498513
9.0	0.0004937819963015499	0.0008030312900882563	0.0015904300460984932	0.002038999434153084	0.0003439616206924256	0.0010685597978226725	0.0004804648475223106	0.0008124352540107793	0.00068135935565806	0.0002909479211666621	0.037603602763265374	0.0008006697504606563	0.0018557552964466595
13.0	0.0008176860965949651	0.0002651229393561039	6.88453329356875e-05	0.0028232191157803754	0.00011515901105221715	0.00019454749385175774	4.8552644252026766e-05	0.001566873401290536	0.0004567023711591389	0.0005362900663481974	0.06380919333547354	0.0005316999052134008	0.001210955458918761
18.0	0.002645976795902243	0.007410159724531695	0.0011832541439798661	0.02045574282296002	0.0012560463788395281	0.0005625464335389552	0.0004603641478752252	0.002791005212577602	0.003453973019786645	0.0020437113373191094	0.01672040839679539	0.0011167417973047121	0.006460248410148779
6.0	0.004445517376007046	0.0020232721798674903	0.0013521774905677522	0.0021240049971448945	0.0050045937209506515	0.004624193234631094	0.0058108207917666735	0.005106132384389639	0.0036971592595327254	0.0003585871215901698	0.0	0.004311301550624194	2.5522595387883485e-06
172.0	0.008672655469497638	0.002873473656502514	0.019709609010220674	0.011629140348162759	0.06012127611786127	0.018259978845458994	0.009972821440440843	0.007180715351163994	0.019823874415411814	0.22106666173785924	0.050031416257843374	0.027607238782096	0.02862898129852689
330.0	0.2557976215332747	0.000610588975250721	0.28218610644340514	0.307981294542551	0.07709119344556845	0.17790725097060517	0.12790212206097823	0.05112678297206626	0.19381622511893512	0.06407082271190287	0.09561006516218186	0.08587238115258515	0.12089470536237969
106.0	0.014736644069107569	0.2563547129929066	0.014164103635354763	0.004445507976290242	0.013688358510262334	0.01820663860386074	0.039200066698301415	0.08728523180878256	0.042393942310009154	0.0006993907722378473	0.0	0.08200390878133476	0.0010926186308643081
63.0	0.006876666256039159	0.04822404778562486	0.004285825875704177	7.231665076687932e-06	0.00016304598713759333	0.001347888903279728	0.0004543321933101652	0.0888073002314195	0.0047764414086123	0.00010700768645619973	0.00209097605856031	0.002704217585270034	0.0016108055083896033
17.0	0.0007697504248185539	0.0007313651732533088	2.8786805916878322e-05	3.7101669700945195e-08	3.380418380771744e-09	0.0	2.6358993689203913e-05	0.022208539613294533	4.963230821887202e-09	3.584309963500232e-08	9.590508511791996e-09	0.0009333789586611729	0.0002772869871128947
