Samples	CH43A	CH43B	CH43C	CH43D	CH43E	CH43F	CH43G	CH43H	CH43I	CH43J	CH43K	CH43L
EOC148_pAdnL1_DNA1	7.88E+01	5.80E+01	1.74E+01	2.64E+01	5.20E+01	1.02E+01	4.79E+01	3.47E+01	1.24E+01	2.44E+01	1.03E+00	1.56E+01
EOC148_pAdnL3_DNA1	7.71E+01	5.66E+01	1.86E+01	2.58E+01	5.12E+01	8.64E+00	4.59E+01	3.10E+01	1.50E+01	1.97E+01	3.87E-01	1.53E+01
EOC148_pOvaL4_DNA1	3.58E+01	2.47E+01	1.38E+01	1.46E+01	2.54E+01	8.23E+00	3.22E+01	1.68E+01	1.20E+01	1.05E+01	1.41E+00	1.03E+01
EOC148_pOvaL5_DNA1	7.05E+01	4.98E+01	1.63E+01	2.16E+01	4.51E+01	1.05E+01	4.57E+01	2.94E+01	1.21E+01	1.64E+01	6.57E-01	1.49E+01
EOC192_iOme1B_DNA2	1.22E+00	1.57E+00	1.45E+00	3.12E-01	7.48E-01	2.21E+00	1.10E-01	6.35E-01	3.64E+00	2.82E+00	3.02E+00	1.40E+00
EOC192_iOme3A_DNA1	2.25E+00	8.00E-01	1.40E+00	5.33E-01	6.90E-01	1.15E+00	3.95E-01	8.94E-01	4.03E+00	3.09E+00	3.08E+00	1.71E+00
EOC192_iOvaR1A_DNA1	6.82E+00	4.55E+00	4.37E-01	1.18E+00	5.44E+00	6.14E+00	1.35E+00	1.53E+00	1.97E+00	3.62E+00	3.52E+00	3.37E+00
EOC192_pAsc1_DNA1	4.13E+00	2.60E+00	2.38E-01	4.31E-01	3.09E+00	3.91E+00	1.00E-01	9.09E-01	4.19E+00	3.94E+00	3.55E+00	2.10E+00
EOC192_pOme1A_TR_DNA1	5.65E+00	3.79E+00	7.34E-01	1.08E+00	6.88E+00	6.98E+00	5.01E-01	1.34E+00	1.68E+00	3.80E+00	3.58E+00	3.93E+00
EOC192_pOme2B_DNA2	5.80E+00	4.05E+00	1.72E+00	1.58E+00	7.53E+00	6.82E+00	7.90E-01	1.54E+00	1.58E+00	3.84E+00	3.59E+00	3.68E+00
EOC192_pOvaR1A_DNA1	5.78E+00	4.18E+00	1.13E+00	6.40E-01	4.97E+00	5.79E+00	1.41E+00	1.31E+00	2.32E+00	3.29E+00	3.37E+00	3.11E+00
EOC192_pOvaR1A_DNA3	6.52E+00	4.37E+00	1.56E+00	5.59E-01	6.29E+00	6.47E+00	1.72E+00	1.66E+00	1.66E+00	2.99E+00	3.13E+00	3.55E+00
EOC192_pPer1A_DNA2	6.89E+00	5.97E+00	2.99E-01	1.06E+00	5.59E+00	5.35E+00	1.65E+00	2.28E+00	2.50E+00	5.04E+00	3.63E+00	5.25E+00
EOC192_pPer2B_DNA1	1.94E+00	4.14E+00	6.69E+00	7.17E+00	7.39E+00	7.39E+00	1.54E+00	2.41E+00	9.27E-01	3.99E+00	3.55E+00	6.05E+00
EOC293_pAdnL1_DNA1	4.29E+01	1.45E+01	1.79E+01	4.46E+00	7.38E+01	8.49E+01	5.36E+00	2.91E+00	4.06E+01	4.05E+00	1.07E+00	1.96E+01
EOC293_pMes1_DNA2	2.85E+01	6.47E+00	2.18E+01	5.33E+00	5.53E+01	7.02E+01	4.20E+00	1.81E+00	4.92E+01	1.99E+01	6.86E-01	1.76E+01
EOC293_pOvaR1_DNA2	3.18E+01	1.06E+01	1.66E+01	2.35E+00	5.81E+01	6.50E+01	3.13E+00	2.71E+00	4.18E+01	7.69E+00	1.14E+00	1.74E+01
EOC372_iOme1_DNA1	2.54E+01	1.70E+01	1.39E+01	1.28E+01	1.63E+01	6.93E+00	2.48E+01	1.52E+01	9.24E+00	8.29E+00	1.74E+00	7.39E+00
EOC372_iPer1_DNA1	1.15E+01	5.85E+00	1.79E+01	1.53E+01	3.93E+00	3.30E+00	1.16E+01	1.08E+01	7.70E+00	3.76E+00	3.13E+00	5.71E+00
EOC372_pPer1_DNA1	1.58E+01	9.65E+00	1.65E+01	1.35E+01	7.03E+00	6.38E+00	1.56E+01	1.27E+01	1.07E+01	7.42E+00	2.49E+00	5.97E+00
EOC523_pOme1_DNA2	6.04E+00	1.40E+01	9.68E+00	6.48E+00	6.74E+00	2.75E+00	1.30E+00	8.34E-01	3.64E+00	1.43E+01	4.96E+00	5.63E+00
EOC523_pOvaR1_DNA2	3.82E+00	1.37E+01	9.95E+00	6.35E+00	5.79E+00	1.32E+00	6.33E-01	2.45E-01	2.08E+00	1.33E+01	4.56E+00	5.40E+00
EOC561_pPer1_DNA1	4.07E+01	2.26E+01	1.51E+01	6.25E+00	5.19E+01	6.33E+01	4.83E+00	4.14E+00	2.16E+01	1.65E+01	1.46E+00	1.35E+01
EOC561_pPer1_DNA1_bgiseq	3.52E+01	1.90E+01	1.33E+01	3.84E+00	4.37E+01	5.02E+01	2.54E+00	5.21E+00	2.48E+01	8.11E+00	1.70E+00	1.24E+01
EOC63_pOme1_DNA1	2.40E+02	1.89E+02	8.11E+00	1.13E+01	7.93E+01	3.54E+01	7.12E+01	1.63E+02	1.75E+01	9.60E+01	0.00E+00	2.80E+01
EOC63_pOvaR1_DNA1	1.48E+01	3.51E+00	3.41E+01	3.04E+01	1.67E+01	1.51E+01	1.58E+01	1.90E+01	1.29E+01	7.69E+00	2.73E+00	1.20E-01
EOC667_pMes1_DNA1	4.07E+01	3.50E+01	5.12E+00	1.00E+00	3.54E+01	2.06E+01	3.67E+01	3.00E+01	5.92E+00	1.76E+01	1.97E+00	1.28E+01
EOC667_pOme1_DNA2	4.22E+01	3.51E+01	6.91E+00	1.32E+00	3.78E+01	2.15E+01	3.34E+01	2.40E+01	7.59E+00	9.77E+00	2.23E+00	1.25E+01
EOC77_iOme1_DNA1	4.94E+00	2.50E+00	6.24E+00	6.86E+00	1.31E+01	8.79E+00	3.14E+00	1.97E+00	3.35E+00	5.51E+00	4.06E+00	4.95E-01
EOC77_iOme2_DNA1	1.01E+01	8.47E+00	8.34E-01	1.64E+00	1.34E+01	1.19E+01	2.12E+00	2.46E+00	3.24E+00	8.65E+00	4.44E+00	0.00E+00
EOC77_iPer1_DNA2	1.39E+01	8.38E+00	7.23E-01	1.96E+00	1.34E+01	1.25E+01	4.03E+00	3.53E+00	3.97E+00	5.78E+00	4.09E+00	2.65E+00
EOC77_pAsc1_DNA1	6.81E+00	3.82E+00	2.36E+00	2.74E+00	1.05E+01	8.63E+00	3.09E+00	1.75E+00	3.28E+00	4.63E+00	3.95E+00	3.06E+00
EOC77_pOme1_DNA3	7.81E+00	5.69E+00	6.33E-01	1.41E+00	1.40E+01	1.32E+01	2.59E+00	1.60E+00	2.91E+00	5.47E+00	3.85E+00	6.24E+00
EOC779_pOme1_DNA1	2.38E+01	1.92E+01	9.99E+00	5.71E+00	1.74E+00	4.85E+00	1.58E+01	1.96E+01	5.72E+00	5.58E+00	3.41E+00	1.80E+00
EOC779_pOvaL1_DNA1	7.91E+01	6.22E+01	8.01E+00	2.25E+00	2.40E+01	4.17E+00	4.45E+01	7.16E+01	6.85E+00	9.91E+00	6.55E-01	7.66E+00
EOC779_pPer1_DNA1	5.21E+01	4.11E+01	9.72E+00	3.60E+00	1.30E+01	3.92E+00	3.16E+01	4.59E+01	6.23E+00	6.03E+00	1.81E+00	3.35E+00
EOC863_pMes1_DNA1	4.72E+00	7.20E+00	1.88E+01	2.72E+01	2.02E+01	8.31E-01	1.79E+00	1.02E+00	9.64E+00	1.13E+01	3.28E+00	8.26E+00
EOC863_pOva1_DNA1	1.71E+01	1.42E+01	1.92E+01	4.50E+01	3.94E+01	2.37E+00	4.94E+00	5.07E+00	9.93E+00	1.92E+01	3.74E+00	1.35E+01
EOC879_p2Ome1_DNA1	2.11E+01	1.12E+01	1.15E+01	2.09E+01	2.05E+01	1.37E+01	4.37E+00	5.32E+00	9.51E+00	1.12E+01	2.86E+00	1.11E+01
EOC879_p2OvaL1_DNA1	2.06E+01	1.23E+01	3.81E+01	4.32E+01	5.84E+01	4.88E+01	1.76E+01	2.83E+00	1.15E+01	1.62E+01	1.42E+00	1.69E+01
EOC879_p2TubL1_DNA1	1.61E+01	8.04E+00	3.10E+01	3.16E+01	4.79E+01	4.11E+01	1.44E+01	4.88E+00	1.01E+01	1.40E+01	1.67E+00	1.39E+01
EOC914_iOme1_DNA1	2.94E+01	1.29E+01	1.27E+01	3.99E+01	4.35E+01	1.12E+01	8.03E+00	5.95E+00	1.73E+01	1.42E+01	2.85E+00	1.50E+01
EOC914_iOvaL1_DNA1	2.95E+01	1.31E+01	1.28E+01	3.39E+01	3.88E+01	1.11E+01	7.63E+00	6.52E+00	1.42E+01	1.45E+01	3.16E+00	1.01E+01
EOC914_iPer1_DNA1	2.60E+01	1.08E+01	1.19E+01	3.08E+01	3.49E+01	1.06E+01	6.69E+00	5.59E+00	1.63E+01	1.28E+01	3.27E+00	1.25E+01
EOC984_pOme1_DNA1	1.12E+01	8.64E+00	4.91E-01	2.00E+00	7.76E+00	3.80E+00	5.05E+00	1.01E+01	2.47E+00	5.86E+00	3.85E+00	5.90E-01
EOC984_pPer1_DNA1	1.03E+01	8.15E+00	2.69E-01	2.27E+00	7.02E+00	4.45E+00	4.71E+00	8.68E+00	3.58E+00	4.94E+00	3.94E+00	8.60E-01
