"EOC1003_p2Ome1_TR_DNA"	"EOC1003_p2OvaL1_TR_DNA"	"EOC1003_p2OvaR1_DNA1"	"EOC1022_pOme1_DNA1"	"EOC1022_pPer1_DNA1"	"EOC1067_pOme1_DNA3"	"EOC1067_pOvaR1_DNA1"	"EOC1067_pPerR1_DNA1"	"EOC1067_pTubL1_DNA1"	"EOC1091_pOme1_TR_DNA"	"EOC1091_pOvaR1_TR_DNA"	"EOC124_pOvaL1_TR_DNA1"	"EOC124_pOvaR1_TR"	"EOC133_pAsc1_DNA1"	"EOC133_pOme1_TR_DNA"	"EOC133_pOvaL1_DNA1"	"EOC148_pAdnL1_DNA1"	"EOC148_pAdnL3_DNA1"	"EOC148_pOvaL4_DNA1"	"EOC148_pOvaL5_DNA1"	"EOC192_iOme1B_DNA2"	"EOC192_iOme3A_DNA1"	"EOC192_iOvaR1A_DNA1"	"EOC192_pAsc1_DNA1"	"EOC192_pOme1A_TR_DNA1"	"EOC192_pOme2B_DNA2"	"EOC192_pOvaR1A_DNA1"	"EOC192_pOvaR1A_DNA3"	"EOC192_pPer1A_DNA2"	"EOC192_pPer2B_DNA1"	"EOC293_pAdnL1_DNA1"	"EOC293_pMes1_DNA2"	"EOC293_pOvaR1_DNA2"	"EOC372_iOme1_DNA1"	"EOC372_iPer1_DNA1"	"EOC372_pPer1_DNA1"	"EOC523_pOme1_DNA2"	"EOC523_pOvaR1_DNA2"	"EOC561_pPer1_DNA1"	"EOC561_pPer1_DNA1_bgiseq"	"EOC63_pOme1_DNA1"	"EOC63_pOvaR1_DNA1"	"EOC667_pMes1_DNA1"	"EOC667_pOme1_DNA2"	"EOC77_iOme1_DNA1"	"EOC77_iOme2_DNA1"	"EOC77_iPer1_DNA2"	"EOC77_pAsc1_DNA1"	"EOC77_pOme1_DNA3"	"EOC779_pOme1_DNA1"	"EOC779_pOvaL1_DNA1"	"EOC779_pPer1_DNA1"	"EOC863_pMes1_DNA1"	"EOC863_pOva1_DNA1"	"EOC879_p2Ome1_DNA1"	"EOC879_p2OvaL1_DNA1"	"EOC879_p2TubL1_DNA1"	"EOC914_iOme1_DNA1"	"EOC914_iOvaL1_DNA1"	"EOC914_iPer1_DNA1"	"EOC984_pOme1_DNA1"	"EOC984_pPer1_DNA1"
"del5"	4	5	7	0	0	1	5	2	1	3	2	3	4	3	3	3	9	10	9	11	1	0	1	0	2	3	1	0	2	2	6	8	6	5	2	1	1	0	8	5	14	2	8	6	1	1	2	1	0	1	3	4	1	4	2	3	4	3	7	4	1	1
"dup1"	3	3	2	3	3	4	3	1	3	3	2	6	7	3	1	3	9	8	7	10	0	0	5	2	2	2	4	3	3	2	6	3	2	7	2	4	5	4	9	4	17	1	4	4	2	3	4	3	2	0	2	1	0	1	4	10	7	1	1	1	2	2
"dup2"	7	7	5	2	8	4	20	5	7	11	10	75	54	2	1	2	155	139	120	157	0	0	2	0	0	0	2	2	2	3	14	8	6	106	51	64	2	1	14	8	165	54	156	144	9	5	8	7	7	0	4	3	6	9	15	59	55	15	18	16	6	6
"dup3"	4	6	3	21	38	10	92	5	6	6	5	66	39	1	2	1	16	15	15	18	7	6	24	16	27	28	24	25	22	30	248	178	177	13	4	7	9	8	199	157	111	53	58	53	40	46	46	31	39	0	4	1	6	5	53	169	153	35	34	32	15	15
"dup4"	4	4	2	1	2	1	12	2	2	3	3	6	10	6	5	5	19	17	18	20	5	3	9	6	7	7	9	9	7	8	136	107	92	26	9	12	2	1	131	94	22	13	12	12	2	2	1	2	1	4	4	5	1	1	7	9	12	2	3	2	0	0
"ins"	2	0	0	1	1	0	0	0	0	1	0	0	1	3	2	4	4	1	2	2	0	0	0	0	0	0	0	0	0	0	4	2	0	2	1	0	0	0	1	0	9	0	1	0	0	0	2	0	0	0	1	0	0	4	1	2	2	2	1	2	0	0
"recip_inv"	0	1	1	0	0	1	3	1	1	2	0	1	1	0	0	0	2	3	1	3	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	1	0	7	4	8	1	2	4	1	1	1	1	1	2	5	3	0	2	0	2	3	1	2	2	1	1
"recip_trans"	0	0	0	1	1	0	1	0	0	0	1	0	2	4	5	5	5	3	5	6	0	0	0	0	0	0	0	0	0	1	1	0	1	2	1	0	2	2	3	2	8	3	11	9	2	1	2	1	1	3	9	7	0	1	1	2	1	0	1	0	0	0
"unbal_trans"	10	6	0	3	3	6	6	8	11	10	8	10	11	17	10	13	21	23	18	14	1	2	3	3	3	4	3	3	3	4	3	2	2	10	9	8	1	2	4	4	14	20	8	8	1	0	0	1	1	2	7	7	5	4	9	21	16	6	12	8	1	1
"LINE"	34	29	16	0	0	13	14	3	6	1	0	4	2	11	6	7	30	32	20	27	0	1	4	1	2	2	3	3	3	4	1	0	1	4	0	0	0	0	2	0	20	0	2	0	2	1	3	3	3	1	3	2	3	12	7	8	4	39	16	17	3	5
