Samples	CH43A	CH43B	CH43C	CH43D	CH43E	CH43F	CH43G	CH43H	CH43I	CH43J
EOC148_pOvaL4_DNA1	3.03E+01	7.08E+00	2.01E+01	2.97E+01	2.08E+01	2.73E+01	1.51E+01	1.43E+01	1.61E+00	2.35E+01
EOC148_pOvaL5_DNA1	5.12E+01	8.64E+00	2.95E+01	4.44E+01	2.44E+01	5.01E+01	1.47E+01	2.69E+01	7.06E-01	3.69E+01
EOC192_iOme1B_DNA2	1.67E+00	1.45E+00	1.60E-01	0.00E+00	1.53E+00	8.59E-01	4.44E+00	3.44E+00	2.88E+00	1.90E+00
EOC192_iOme3A_DNA1	1.18E+00	6.06E-01	7.50E-01	5.00E-02	1.44E+00	9.02E-01	4.52E+00	4.53E+00	3.25E+00	2.12E+00
EOC192_iOvaR1A_DNA1	4.45E+00	7.98E+00	1.41E+00	1.53E+00	4.93E-01	2.45E+00	3.66E+00	4.56E+00	4.04E+00	6.35E+00
EOC192_pAsc1_DNA1	2.87E+00	3.89E+00	5.93E-01	0.00E+00	3.07E-01	1.40E+00	4.18E+00	4.38E+00	3.66E+00	4.09E+00
EOC192_pOme1A_TR_DNA1	4.81E+00	7.70E+00	1.21E+00	7.38E-01	5.93E-01	1.30E+00	3.32E+00	4.15E+00	3.62E+00	6.65E+00
EOC192_pOme2B_DNA2	4.86E+00	8.13E+00	2.20E+00	8.26E-01	1.59E+00	1.66E+00	3.51E+00	4.82E+00	3.74E+00	6.92E+00
EOC192_pOvaR1A_DNA1	4.26E+00	8.14E+00	1.39E+00	1.73E+00	9.37E-01	1.62E+00	4.00E+00	3.85E+00	3.71E+00	6.30E+00
EOC192_pOvaR1A_DNA3	4.34E+00	8.63E+00	8.29E-01	1.80E+00	1.40E+00	2.43E+00	3.21E+00	3.60E+00	3.24E+00	6.92E+00
EOC192_pPer1A_DNA2	8.73E+00	6.89E+00	1.44E+00	1.82E+00	3.30E-02	2.02E+00	2.77E+00	6.32E+00	4.43E+00	7.81E+00
EOC192_pPer2B_DNA1	1.32E+01	6.49E+00	9.98E+00	1.73E+00	7.68E+00	1.85E+00	1.09E+00	5.73E+00	3.99E+00	1.35E+01
EOC293_pAdnL1_DNA1	4.47E+01	1.20E+02	7.46E+00	6.00E+00	1.56E+01	5.29E+00	8.32E+01	6.89E+00	1.06E+00	1.16E+02
EOC293_pMes1_DNA2	3.41E+01	9.20E+01	4.95E+00	3.45E+00	2.22E+01	1.80E+00	6.83E+01	2.56E+01	6.34E-01	8.33E+01
EOC293_pOvaR1_DNA2	3.54E+01	9.11E+01	3.89E+00	3.32E+00	1.71E+01	3.62E+00	6.82E+01	1.42E+01	1.25E+00	8.37E+01
EOC372_iOme1_DNA1	1.59E+01	7.82E+00	1.61E+01	1.83E+01	1.36E+01	1.42E+01	1.22E+01	7.79E+00	2.30E+00	1.16E+01
EOC372_iPer1_DNA1	1.18E+01	9.89E-01	1.31E+01	1.05E+01	1.45E+01	8.01E+00	1.47E+01	6.30E+00	4.36E+00	1.32E+01
EOC372_pPer1_DNA1	9.39E+00	1.91E+00	1.32E+01	1.25E+01	1.41E+01	1.00E+01	1.81E+01	9.61E+00	3.18E+00	1.11E+01
EOC523_pOme1_DNA2	3.09E+01	3.76E+00	1.06E+01	1.67E+00	1.03E+01	4.84E+00	5.53E+00	3.18E+01	3.58E+00	9.71E+00
EOC523_pOvaR1_DNA2	3.31E+01	2.36E+00	9.83E+00	5.56E-01	1.08E+01	3.17E+00	2.89E+00	3.00E+01	3.29E+00	8.66E+00
EOC561_pPer1_DNA1	3.31E+01	9.78E+01	7.48E+00	5.43E+00	1.21E+01	3.32E+00	5.66E+01	2.17E+01	2.23E+00	9.32E+01
EOC561_pPer1_DNA1_bgiseq	2.90E+01	7.80E+01	3.00E+00	2.03E+00	1.15E+01	3.44E+00	5.25E+01	9.51E+00	2.22E+00	7.56E+01
EOC63_pOme1_DNA1	1.75E+02	3.03E+01	2.67E+01	1.06E+02	5.99E+00	2.12E+02	1.64E+01	1.54E+02	0.00E+00	1.31E+02
EOC63_pOvaR1_DNA1	6.50E-01	1.13E+01	2.22E+01	2.19E+01	2.95E+01	1.95E+01	1.73E+01	1.01E+01	3.47E+00	1.81E+01
EOC667_pMes1_DNA1	5.71E+01	2.30E+01	1.27E+01	3.42E+01	2.85E+00	4.26E+01	9.07E+00	2.85E+01	2.61E+00	4.24E+01
EOC667_pOme1_DNA2	5.92E+01	2.33E+01	1.25E+01	3.05E+01	5.35E+00	3.81E+01	1.46E+01	1.59E+01	3.19E+00	4.40E+01
EOC77_iOme1_DNA1	2.14E+00	7.63E+00	8.96E+00	3.92E+00	7.06E+00	1.46E+00	4.63E+00	5.34E+00	4.64E+00	6.35E+00
EOC77_iOme2_DNA1	8.03E+00	9.85E+00	3.29E+00	2.77E+00	5.73E-01	3.98E+00	3.72E+00	8.85E+00	5.21E+00	1.16E+01
EOC77_iPer1_DNA2	6.14E+00	1.17E+01	2.93E+00	5.55E+00	8.31E-01	4.08E+00	5.86E+00	7.13E+00	5.01E+00	1.18E+01
EOC77_pAsc1_DNA1	5.22E+00	7.53E+00	3.13E+00	3.57E+00	2.29E+00	1.33E+00	3.59E+00	5.52E+00	4.26E+00	6.20E+00
EOC77_pOme1_DNA3	1.03E+01	1.00E+01	2.98E+00	3.47E+00	2.33E-01	1.17E+00	4.93E+00	7.71E+00	4.79E+00	1.10E+01
EOC779_pOme1_DNA1	2.93E+01	0.00E+00	2.19E+00	0.00E+00	7.93E+00	2.54E+01	7.36E+00	4.52E+00	4.02E+00	2.22E+01
EOC779_pOvaL1_DNA1	1.02E+02	3.24E+00	6.25E+00	3.94E+00	8.74E+00	8.88E+01	7.86E+00	1.56E+01	1.06E+00	5.24E+01
EOC779_pPer1_DNA1	7.03E+01	1.02E+00	4.52E+00	2.58E+00	1.03E+01	5.97E+01	7.34E+00	8.59E+00	1.88E+00	4.21E+01
EOC863_pMes1_DNA1	6.18E+00	7.89E-01	1.85E+01	8.59E-01	1.28E+01	7.64E-01	9.72E+00	9.27E+00	3.52E+00	1.24E+01
EOC863_pOva1_DNA1	1.02E+01	3.03E+00	2.89E+01	6.16E+00	1.44E+01	7.21E+00	6.66E+00	1.52E+01	3.16E+00	2.48E+01
EOC879_p2Ome1_DNA1	1.38E+01	1.03E+01	2.01E+01	4.83E+00	1.05E+01	1.48E+00	8.68E+00	1.18E+01	3.42E+00	1.82E+01
EOC879_p2OvaL1_DNA1	1.06E+01	4.39E+01	5.06E+01	1.77E+01	4.43E+01	2.26E+00	1.26E+01	3.07E+01	1.73E+00	3.27E+01
EOC879_p2TubL1_DNA1	6.93E+00	3.48E+01	4.25E+01	1.49E+01	4.00E+01	1.30E+00	1.24E+01	2.81E+01	1.74E+00	2.80E+01
EOC914_iOme1_DNA1	1.58E+01	1.73E+01	4.19E+01	1.07E+01	1.31E+01	9.82E+00	1.70E+01	1.60E+01	2.91E+00	4.01E+01
EOC914_iOvaL1_DNA1	1.00E+01	1.93E+01	3.92E+01	9.03E+00	1.39E+01	7.36E+00	1.46E+01	1.68E+01	3.62E+00	3.32E+01
EOC914_iPer1_DNA1	1.07E+01	1.63E+01	3.57E+01	7.69E+00	1.36E+01	6.23E+00	1.61E+01	1.64E+01	3.48E+00	3.42E+01
EOC984_pOme1_DNA1	1.15E+01	7.71E+00	2.27E+00	4.16E+00	3.67E-01	1.14E+01	1.77E+00	6.62E+00	3.47E+00	8.58E+00
EOC984_pPer1_DNA1	1.18E+01	7.82E+00	2.97E+00	4.82E+00	3.89E-01	1.05E+01	3.33E+00	5.65E+00	3.93E+00	8.62E+00
