Sample Names	MutationType	0	1	2	3	4	5	6	7
EOC1022_pOme1_DNA1	7.0	0.0	0.0	0.0	0.6716616473777214	0.0	0.0	0.0	0.3283383526222785
EOC1022_pOme1_DNA1	4.0	0.0	0.0	0.0	0.9668498439445654	0.0	0.0	0.0	0.033150156055434615
EOC1022_pOme1_DNA1	10.0	0.0	0.0	0.0	0.43171055283085025	0.0	0.0	0.0	0.5682894471691498
EOC1022_pOme1_DNA1	4.0	0.0	0.0	0.0	0.15351579007321625	0.0	0.0	0.0	0.8464842099267837
EOC1022_pOme1_DNA1	3.0	0.0	0.0	0.0	0.3317715170621772	0.0	0.0	0.0	0.6682284829378228
EOC1022_pOme1_DNA1	7.0	0.0	0.0	0.0	0.9999997663270889	0.0	0.0	0.0	2.3367291103921974e-07
EOC1022_pOme1_DNA1	4.0	0.0	0.0	0.0	0.124872808136512	0.0	0.0	0.0	0.8751271918634881
EOC1022_pOme1_DNA1	4.0	0.0	0.0	0.0	0.9551507679398118	0.0	0.0	0.0	0.04484923206018821
EOC1022_pOme1_DNA1	2.0	0.0	0.0	0.0	0.9109608402664156	0.0	0.0	0.0	0.08903915973358435
EOC1022_pOme1_DNA1	0.0	0.0	0.0	0.0	0.4797420731251915	0.0	0.0	0.0	0.5202579268748084
EOC1022_pOme1_DNA1	0.0	0.0	0.0	0.0	0.5973957362178185	0.0	0.0	0.0	0.4026042637821816
EOC1022_pOme1_DNA1	10.0	0.0	0.0	0.0	0.6597517226628331	0.0	0.0	0.0	0.3402482773371669
EOC1022_pOme1_DNA1	34.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
EOC1022_pOme1_DNA1	1.13282575928935	0.0	0.0	0.0	0.09382156108172236	0.0	0.0	0.0	0.9061784389182775
EOC1022_pOme1_DNA1	1.70029802282402	0.0	0.0	0.0	0.1078483760673423	0.0	0.0	0.0	0.8921516239326576
EOC1022_pOme1_DNA1	0.0	0.0	0.0	0.0	0.748896794998663	0.0	0.0	0.0	0.251103205001337
