MutationType	CH43A	CH43B	CH43C	CH43D	CH43E	CH43F	CH43G
4.0	0.0007951708387719237	0.014070389572189014	3.2278744038194417e-06	0.0022652213832044764	0.0007833060589499752	0.024069726527668537	0.0
2.0	0.0004009913086701999	0.00030271786718003566	0.00046916393221181353	0.0002559637413738791	0.00021376302638493884	0.00015770790935039968	1.7887541854779697e-05
0.0	0.0006598510097774124	0.0008013328091328731	0.0005888196686441915	5.399188632509322e-05	0.0003578985129433221	0.00011229489151446614	9.480378206138562e-05
0.0	0.0018955921428278088	0.00044902185050887055	3.0208174848667113e-05	0.00018336530496393166	0.0008327580273908097	4.7510774465990834e-05	0.000396265783017995
10.0	0.002609754523728043	0.0009195631606053211	0.0022053361363214207	0.005613096316810697	0.0011006805938086471	0.00018468671911250567	0.003057207152014598
34.0	0.0005783759788027964	0.0010534109637956135	0.008386745783500373	0.00012250855150341522	0.002394488232821459	6.098095276684035e-05	0.0019704909111493405
1.13282575928935	0.0003994598097051494	0.00020014021273823346	0.00018034430687242586	0.0002465984246373409	0.00010620083345202148	0.00021563825223609002	0.0027814649476204066
1.70029802282402	0.0002767350207614072	0.000200345292187194	0.0004244130148435943	0.00031907420583593193	0.00022137307641060034	0.0002663792733801529	0.003019179356051609
0.0	0.0035009827581234275	0.0008019330566457939	0.00018088016609765667	2.0940111383751516e-05	0.0002758855543888572	0.0002943129634730113	3.345817484284197e-05
139.0	0.11336097195744514	0.012276105668176877	0.028278117573354696	0.042347449022345246	0.11881078359670937	0.008652078432677655	0.011363301153760403
210.0	0.019055645801126956	0.11471522748470306	0.1357316206395626	0.08064031541347504	0.0647438165359199	0.06460498303174972	0.006681849324561995
343.0	0.13307527713477613	0.1383306463062763	0.10649816811084747	0.12585019052028656	0.06952215149998665	0.18475306242704392	0.20527174770832063
29.0	0.00012103761984690209	0.0002515663821009184	0.0010285282976951748	0.0011088589713108387	0.0008437674002561835	0.000491908651229096	0.1234451936930418
