MutationType	CH43A	CH43B	CH43C	CH43D	CH43E	CH43F	CH43G	CH43H	CH43I
34.0	0.0006056189179071225	2.1987113850627793e-05	2.2242017439566554e-06	0.004547748094773851	0.008731238138861954	3.863410423427638e-05	0.0006075359453097917	0.0006510065206001059	0.0032833280437625945
1.13282575928935	0.0005403166709584184	0.00016999671310259147	0.0002789226511800449	0.00017193183563904313	0.0002626883294487925	0.00024101769831936793	0.0001338306476282014	4.6495956068434756e-05	0.0030102071119472384
1.70029802282402	0.0003375197983041289	0.0001880599619129697	0.00030016341266673406	0.00013363690241021686	0.0004676029570509854	0.0003086609404044793	0.000536552834964823	0.00013248838969957434	0.0032343323656823485
0.0	0.004695695076370612	0.0008152247325494244	6.934039371095935e-05	0.0005254317664730479	0.0002081661914341737	0.0001976876531394467	0.00019530828200352345	0.0005918375287243194	7.604030215304647e-06
139.0	0.10622389300448504	0.002068697088485031	0.06416263470426202	0.04696819766623427	0.006711796357049556	0.005192585595717157	0.16716797985136508	0.05685175927297678	0.0010633314237929882
210.0	0.013795903591110832	0.10490411654114723	0.0634769668057561	0.09218250129371881	0.14552173644304275	0.05663381695747376	0.041909395749680695	0.10464364275336266	0.007730819554146866
343.0	0.14939374834299088	0.15501529067754746	0.11643836546689272	0.11967127189040185	0.1291554183140397	0.1972992652654648	0.05378695720806718	0.06356042195111514	0.2210159756243229
29.0	0.000259019697587064	0.0003996217001829905	0.0014885450844303704	9.586720268373484e-05	0.0009258736532258505	0.0005103609320576652	0.0011073507231050448	0.000606198304976715	0.1379056020081043
70.0	0.01748701955191791	0.0018486936920636466	0.006914836906667006	0.00012508976273238658	0.015916560874320567	0.006014663812238723	0.003680731284555098	0.0004489314851161907	0.15756225131452084
28.0	0.0270886212028563	0.013249051487073303	0.018051933376118542	0.00706868311506696	0.011592083261348307	0.01222244939301163	0.0025104700595875327	0.000856547377479772	0.004716583819832585
3.0	0.0014538456287118606	0.004313200683391187	0.0008496927250962471	0.009043798758648336	0.004318728670477867	0.007111713161575608	0.0013087324839943903	0.0012521300735333796	0.0
3.0	5.52283075159643e-06	4.375450934901437e-10	6.421835753782857e-05	0.00047940774565205404	0.0005681004758662312	2.3996561093753142e-09	0.0006301518417914664	0.001603023401840673	2.7191917251201403e-09
407.0	0.028258981845969876	0.0654769517108798	0.17234780222177506	0.05885478517273441	0.14632562639191746	0.14585482962429525	0.1352125398814678	0.22733717292547226	0.042280961484648286
34.0	0.012634554079268128	0.016813034424558282	0.010527722213882953	0.02424472860060632	0.016389383664354683	0.015617816641461104	0.017210613526403903	0.006597716837713961	0.004706703054980607
4.0	0.011155446407501586	0.009083131968509406	0.0	0.003973806249268819	0.001258374036042369	0.0031688697068602777	0.007457083852495998	0.0011534992616361705	1.5545019493856672e-09
9.0	0.0011443154433800372	0.0008992612571455538	0.0009082475604944929	0.00037722984252799006	0.0003742298066936446	0.0005993483333077165	0.0013152990438538837	0.00023716963889000909	0.03152179794386029
13.0	0.0005289963468672604	0.00011099875395967018	0.000256803109315058	9.960019342649674e-06	0.0012435530533548593	0.00018504628912898723	9.861431452748093e-05	5.533833139857336e-05	0.0538734557852149
18.0	0.0097241141484119	0.0008353232408262557	0.005159202509972278	0.0003501332705798177	0.005094903146382853	0.0035072341409977527	0.002533358019560321	0.0001975027389573434	0.020484020579606296
6.0	0.003940165374078788	0.0036779471318004655	0.0027280835491546897	0.0052845862461254	0.004812405011616647	0.004952647340251133	0.000759206465081661	0.0008775176212729846	0.0
172.0	0.022931575803086163	0.014881275511579589	0.0018743514555805995	0.00868784351421551	0.01451710143359378	0.028529272761661558	0.050823951372837545	0.17344706729054452	0.04956463186070323
330.0	0.22619483571736013	0.20646885924041272	0.0	0.18948555920273066	0.1308886954188347	0.1808500224351883	0.2328616525232792	0.05742642279214939	0.10655216984450817
106.0	0.01548829441308044	0.024071112509118392	0.23322473213076592	0.029899739164393396	0.05688659694045782	0.04892603041080292	0.008416415202664212	0.004624312984524295	0.0
63.0	0.00012909797635280392	6.940368555660825e-05	0.05368428833782673	2.3906859787530266e-05	0.04234526449348777	0.006120115280500613	0.00387173205439467	0.0011097552369028563	0.0017225097915780907
17.0	2.122489377143211e-08	6.216703170025539e-09	0.0024312876690588325	2.0821227453282633e-09	0.011805967716500164	5.049478896808069e-06	2.1217743672594656e-05	0.0001307049767572721	2.112918071617287e-08
